company_id,company_name,sector,metric,value,zscore
GAIL,GAIL (India) Ltd,Energy,interest_coverage,26.84,3.19
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,interest_coverage,3804.5,4.23
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,earnings_per_share,666.0,4.34
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,net_profit_margin_pct,431.97,4.61
